event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56261.1405,18.886,0.126,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56261.1419,16.090,0.066,F,V,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56261.1445,19.287,0.141,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56262.05732,16.114,0.007,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56262.06102,16.956,0.01,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56262.06642,16.058,0.007,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56262.07354,16.229,0.008,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56262.10,16.25,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56262.10,16.90,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56262.10,16.09,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56262.10,16.04,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56263.05492,16.276,0.009,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56263.05943,16.109,0.009,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56263.06486,16.177,0.008,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56263.06869,17.031,0.012,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56263.10,16.30,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56263.10,16.99,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56263.10,16.16,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56263.10,16.10,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.07315,16.248,0.007,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56264.07743,17.133,0.01,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56264.08208,16.168,0.007,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56264.08608,16.357,0.007,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56264.10,16.39,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.10,16.21,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
