MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR,TELESCOPE,INSTRUMENT,SHIFTMAG
58872.289000000004,rp,191852.885,3568.62,14.292,0.02,Siding Spring 1m,Sinistro,119.292
58872.29,ip,189814.004,1962.641,14.304,0.011000000000000001,Siding Spring 1m,Sinistro,91.304
58873.087,up,10709.117,10709.117,17.426,1.0859999999999999,Siding Spring 1m,Sinistro,136.426
58873.087999999996,gp,95989.79199999999,1325.592,15.045,0.015,Siding Spring 1m,Sinistro,78.045
58873.08900000001,rp,194555.50199999998,1269.024,14.277999999999999,0.006999999999999999,Siding Spring 1m,Sinistro,119.27799999999999
58873.09099999999,ip,177223.431,1145.0439999999999,14.378,0.006999999999999999,Siding Spring 1m,Sinistro,91.378
58874.280999999995,up,51246.007000000005,51246.007000000005,15.725999999999999,1.0859999999999999,Siding Spring 1m,Sinistro,134.726
58874.282,gp,14758.462,14758.462,17.077,1.0859999999999999,Siding Spring 1m,Sinistro,80.077
58874.28400000001,rp,6596.726,6596.726,17.952,1.0859999999999999,Siding Spring 1m,Sinistro,122.952
58874.285,ip,18096.675,18096.675,16.855999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,93.856
58875.253,up,13010.635,13010.635,17.214000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,136.214
58875.254,gp,7422.116999999999,7422.116999999999,17.824,1.0859999999999999,Siding Spring 1m,Sinistro,80.824
58875.255,rp,8955.961,8955.961,17.62,1.0859999999999999,Siding Spring 1m,Sinistro,122.62
58875.257000000005,ip,140448.199,982.967,14.630999999999998,0.008,Siding Spring 1m,Sinistro,91.631
58876.329000000005,up,136900.739,136900.739,14.659,1.0859999999999999,Siding Spring 1m,Sinistro,133.659
58876.335,gp,11938.761999999999,11938.761999999999,17.308,1.0859999999999999,Siding Spring 1m,Sinistro,80.30799999999999
58876.335999999996,rp,16335.472,16335.472,16.967,1.0859999999999999,Siding Spring 1m,Sinistro,121.967
58876.337999999996,ip,28367.527000000002,28367.527000000002,16.368,1.0859999999999999,Siding Spring 1m,Sinistro,93.368
58877.258,rp,16443.165,16443.165,16.96,1.0859999999999999,Siding Spring 1m,Sinistro,121.96000000000001
58877.263,gp,12466.861,12466.861,17.261,1.0859999999999999,Siding Spring 1m,Sinistro,80.261
58877.265999999996,ip,33099.655,33099.655,16.2,1.0859999999999999,Siding Spring 1m,Sinistro,93.2
58878.33900000001,up,40420.716,40420.716,15.982999999999999,1.0859999999999999,Siding Spring 1m,Sinistro,134.983
58878.34,gp,7068.284000000001,7068.284000000001,17.877,1.0859999999999999,Siding Spring 1m,Sinistro,80.877
58878.34099999999,rp,8232.591,8232.591,17.711,1.0859999999999999,Siding Spring 1m,Sinistro,122.711
58878.343,ip,2790.9429999999998,2790.9429999999998,18.886,1.0859999999999999,Siding Spring 1m,Sinistro,95.886
58881.992999999995,up,24096.557999999997,24096.557999999997,16.545,1.0859999999999999,Siding Spring 1m,Sinistro,135.54500000000002
58881.994000000006,gp,9190.253,9190.253,17.592,1.0859999999999999,Siding Spring 1m,Sinistro,80.592
58881.996,rp,8964.992,8964.992,17.619,1.0859999999999999,Siding Spring 1m,Sinistro,122.619
58881.997,ip,4056.1929999999998,4056.1929999999998,18.48,1.0859999999999999,Siding Spring 1m,Sinistro,95.48
58884.367999999995,up,28687.338,28687.338,16.355999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,135.356
58884.37,gp,8090.436,8090.436,17.73,1.0859999999999999,Siding Spring 1m,Sinistro,80.73
58884.371,rp,3867.884,3867.884,18.531,1.0859999999999999,Siding Spring 1m,Sinistro,123.531
58884.373,ip,4568.573,4568.573,18.351,1.0859999999999999,Siding Spring 1m,Sinistro,95.351
58887.382000000005,up,10019.011,10019.011,17.498,1.0859999999999999,Siding Spring 1m,Sinistro,136.498
58887.383,gp,5809.241,5809.241,18.09,1.0859999999999999,Siding Spring 1m,Sinistro,81.09
58887.385,rp,5947.3769999999995,5947.3769999999995,18.064,1.0859999999999999,Siding Spring 1m,Sinistro,123.064
58887.386,ip,55666.319,503.171,15.636,0.01,Siding Spring 1m,Sinistro,92.636
58891.959,up,28328.063,28328.063,16.369,1.0859999999999999,Siding Spring 1m,Sinistro,135.369
58891.960999999996,gp,10167.071,10167.071,17.482,1.0859999999999999,Siding Spring 1m,Sinistro,80.482
58891.962,rp,10075.248,10075.248,17.492,1.0859999999999999,Siding Spring 1m,Sinistro,122.492
58891.962999999996,ip,14045.383,14045.383,17.131,1.0859999999999999,Siding Spring 1m,Sinistro,94.131
58895.288,up,37083.544,37083.544,16.077,1.0859999999999999,Siding Spring 1m,Sinistro,135.077
58895.291,gp,15271.496000000001,15271.496000000001,17.04,1.0859999999999999,Siding Spring 1m,Sinistro,80.03999999999999
58895.292,rp,20572.615,20572.615,16.717,1.0859999999999999,Siding Spring 1m,Sinistro,121.717
58895.293,ip,26628.068,26628.068,16.437,1.0859999999999999,Siding Spring 1m,Sinistro,93.437
58898.377,up,16040.928,16040.928,16.987000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,135.987
58898.379,gp,5227.973,5227.973,18.204,1.0859999999999999,Siding Spring 1m,Sinistro,81.20400000000001
58898.38,rp,6032.863,6032.863,18.049,1.0859999999999999,Siding Spring 1m,Sinistro,123.049
58898.380999999994,ip,5967.691999999999,5967.691999999999,18.06,1.0859999999999999,Siding Spring 1m,Sinistro,95.06
58902.236,up,66583.665,66583.665,15.442,1.0859999999999999,Siding Spring 1m,Sinistro,134.442
58902.238,gp,15572.451000000001,15572.451000000001,17.019000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,80.019
58902.239,rp,17911.46,17911.46,16.867,1.0859999999999999,Siding Spring 1m,Sinistro,121.867
58902.24,ip,19829.665,19829.665,16.757,1.0859999999999999,Siding Spring 1m,Sinistro,93.757
58906.099,up,31307.462000000003,31307.462000000003,16.261,1.0859999999999999,Siding Spring 1m,Sinistro,135.261
58906.1,gp,11660.968,11660.968,17.333,1.0859999999999999,Siding Spring 1m,Sinistro,80.333
58906.100999999995,rp,12252.84,12252.84,17.279,1.0859999999999999,Siding Spring 1m,Sinistro,122.279
58906.102,ip,12199.553999999998,12199.553999999998,17.284000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,94.284
58910.155999999995,up,27425.842,27425.842,16.405,1.0859999999999999,Siding Spring 1m,Sinistro,135.405
58910.15900000001,gp,8357.972,8357.972,17.695,1.0859999999999999,Siding Spring 1m,Sinistro,80.695
58910.16,rp,8726.779,8726.779,17.648,1.0859999999999999,Siding Spring 1m,Sinistro,122.648
58910.16099999999,ip,9780.556,9780.556,17.524,1.0859999999999999,Siding Spring 1m,Sinistro,94.524
58914.263,up,17664.728,17664.728,16.882,1.0859999999999999,Siding Spring 1m,Sinistro,135.882
58914.267,gp,10580.125,10580.125,17.439,1.0859999999999999,Siding Spring 1m,Sinistro,80.439
58914.268,rp,9969.534,9969.534,17.503,1.0859999999999999,Siding Spring 1m,Sinistro,122.503
58914.269,ip,12107.938,12107.938,17.292,1.0859999999999999,Siding Spring 1m,Sinistro,94.292
58919.139,up,26409.857000000004,26409.857000000004,16.445999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,135.446
58919.142,gp,18179.967,18179.967,16.851,1.0859999999999999,Siding Spring 1m,Sinistro,79.851
58919.143,rp,20219.784,20219.784,16.736,1.0859999999999999,Siding Spring 1m,Sinistro,121.736
58919.144,ip,22665.875,22665.875,16.612000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,93.612
58923.138,up,22078.906000000003,22078.906000000003,16.64,1.0859999999999999,Siding Spring 1m,Sinistro,135.64
58923.140999999996,gp,9611.886999999999,9611.886999999999,17.543,1.0859999999999999,Siding Spring 1m,Sinistro,80.543
58923.142,rp,9390.935,9390.935,17.567999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,122.568
58923.143,ip,10037.958,10037.958,17.496,1.0859999999999999,Siding Spring 1m,Sinistro,94.496
58929.497,up,16996.502,16996.502,16.924,1.0859999999999999,Siding Spring 1m,Sinistro,135.924
58929.499,gp,9832.536,9832.536,17.518,1.0859999999999999,Siding Spring 1m,Sinistro,80.518
58929.5,rp,11545.213,11545.213,17.344,1.0859999999999999,Siding Spring 1m,Sinistro,122.344
58929.501,ip,16361.607,16361.607,16.965,1.0859999999999999,Siding Spring 1m,Sinistro,93.965
58935.617999999995,up,61967.496,61967.496,15.52,1.0859999999999999,Siding Spring 1m,Sinistro,134.52
58935.638,up,55784.498,55784.498,15.634,1.0859999999999999,Siding Spring 1m,Sinistro,134.63400000000001
58935.639,gp,13176.239,13176.239,17.201,1.0859999999999999,Siding Spring 1m,Sinistro,80.201
58935.64,rp,18249.911,18249.911,16.847,1.0859999999999999,Siding Spring 1m,Sinistro,121.84700000000001
58935.640999999996,ip,19825.82,19825.82,16.757,1.0859999999999999,Siding Spring 1m,Sinistro,93.757
58943.459,up,75517.416,75517.416,15.305,1.0859999999999999,Siding Spring 1m,Sinistro,134.305
58943.46,gp,13966.409,13966.409,17.137,1.0859999999999999,Siding Spring 1m,Sinistro,80.137
58943.460999999996,rp,25345.405,25345.405,16.49,1.0859999999999999,Siding Spring 1m,Sinistro,121.49
58943.462,ip,40452.311,40452.311,15.982999999999999,1.0859999999999999,Siding Spring 1m,Sinistro,92.983
58952.441,up,20715.051,20715.051,16.709,1.0859999999999999,Siding Spring 1m,Sinistro,135.709
58952.442,gp,5320.014,5320.014,18.185,1.0859999999999999,Siding Spring 1m,Sinistro,81.185
58952.443,rp,5881.173000000001,5881.173000000001,18.076,1.0859999999999999,Siding Spring 1m,Sinistro,123.076
58952.444,ip,6668.334,6668.334,17.94,1.0859999999999999,Siding Spring 1m,Sinistro,94.94
58959.33900000001,gp,7223.876,7223.876,17.852999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,80.853
58959.34,rp,7176.473000000001,7176.473000000001,17.86,1.0859999999999999,Siding Spring 1m,Sinistro,122.86
58959.34099999999,ip,7910.618,7910.618,17.754,1.0859999999999999,Siding Spring 1m,Sinistro,94.754
58966.346,up,16422.587,16422.587,16.961,1.0859999999999999,Siding Spring 1m,Sinistro,135.961
58966.35,gp,18860.505,18860.505,16.811,1.0859999999999999,Siding Spring 1m,Sinistro,79.811
58966.350999999995,rp,17141.246,17141.246,16.915,1.0859999999999999,Siding Spring 1m,Sinistro,121.91499999999999
58966.352,ip,20345.72,20345.72,16.729,1.0859999999999999,Siding Spring 1m,Sinistro,93.729
58974.11,up,30975.902000000002,30975.902000000002,16.272000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,135.272
58974.111,gp,13583.587,13583.587,17.167,1.0859999999999999,Siding Spring 1m,Sinistro,80.167
58974.112,rp,13693.913,13693.913,17.159000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,122.159
58974.113,ip,17996.453999999998,17996.453999999998,16.862000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,93.862
58865.530999999995,orange,201557.98100000003,20049.31,14.239,0.10800000000000001,ATLAS,HKO,98.239
58856.45,UVW1,144486.073,2205.14,14.6,0.017,Swift,UVOT,42.6
58856.452000000005,U,231791.35199999998,3689.171,14.087,0.017,Swift,UVOT,28.087
58856.454000000005,UVW2,75834.728,1053.2160000000001,15.3,0.015,Swift,UVOT,50.3
58856.459,UVM2,86152.645,884.462,15.162,0.011000000000000001,Swift,UVOT,36.162
58856.782999999996,UVW1,94234.281,1077.947,15.064,0.012,Swift,UVOT,43.064
58856.791,UVW2,95679.385,862.796,15.048,0.01,Swift,UVOT,50.048
58857.445999999996,UVW1,118077.54,1962.9720000000002,14.82,0.018000000000000002,Swift,UVOT,42.82
58857.448,U,532786.42,7307.451999999999,13.184000000000001,0.015,Swift,UVOT,27.184
58857.455,UVM2,78405.761,846.2,15.264000000000001,0.012,Swift,UVOT,36.264
58858.843,UVW1,98020.795,1397.977,15.022,0.015,Swift,UVOT,43.022
58858.848,UVW2,90182.959,1041.4180000000001,15.112,0.013000000000000001,Swift,UVOT,50.112
58858.852999999996,UVM2,97404.241,1058.742,15.029000000000002,0.012,Swift,UVOT,36.029
58859.457,UVW2,87809.429,1774.2979999999998,15.140999999999998,0.022000000000000002,Swift,UVOT,50.141
58859.772000000004,UVW1,150081.126,1223.899,14.559000000000001,0.009000000000000001,Swift,UVOT,42.559
58859.969000000005,UVW1,171951.74399999998,1760.97,14.411,0.011000000000000001,Swift,UVOT,42.411
58860.374,UVW1,88745.071,1624.7060000000001,15.13,0.02,Swift,UVOT,43.13
58860.377,UVW2,70957.719,1107.8210000000001,15.373,0.017,Swift,UVOT,50.373
58860.380999999994,UVM2,94420.896,1226.59,15.062000000000001,0.013999999999999999,Swift,UVOT,36.062
58861.242999999995,UVW1,110594.44300000001,1816.575,14.890999999999998,0.018000000000000002,Swift,UVOT,42.891
58861.247,UVW2,89906.84800000001,1250.51,15.116,0.015,Swift,UVOT,50.116
