MJD,umag,umagerr,gmag,gmagerr,rmag,rmagerr,imag,imagerr
58882.76379591837,17.135112515956294,0.034078197692853446,16.265103350996462,0.01799532983917975,15.522841127984432,0.016028681876302766,15.391816944704559,0.02679810375338256
58883.98828571429,17.149858357724952,0.032861356762628136,16.285118710446568,0.016943824962751666,15.664570903700245,0.01565421210744398,15.47561242040404,0.02446233295948622
58885.21277551021,17.187346399160873,0.03236551275471281,16.296142464690202,0.01860712066060281,15.795185031480584,0.017653722932310784,15.542380147463597,0.02344524693805654
58886.43726530613,17.24217666309847,0.03328568034276052,16.314061867140737,0.022241072052859755,15.906919171785578,0.020813856497102597,15.597940406481769,0.02431989248127573
58887.661755102046,17.316712537654013,0.03476254491871216,16.345421571621277,0.02570736685589422,15.993203604914136,0.023439832405667535,15.64678742432201,0.026610719667248803
58888.88624489796,17.400293568617542,0.035579127914420444,16.38985901893407,0.027695083022287043,16.053290115929563,0.02449977313544861,15.6913326125011,0.028642366087776806
58890.11073469388,17.4869518625057,0.035006921002158325,16.440295006407233,0.0273669573900912,16.08961803980743,0.02382945923014588,15.733311169203276,0.02970479214010031
58891.3352244898,17.570971652176308,0.03306182970912697,16.489926761072766,0.025350583390167207,16.111199802613832,0.02170687432129654,15.772233738678867,0.02902725649498336
58892.55971428572,17.64423160530763,0.030362968633158807,16.533306058452194,0.02260032593161011,16.12637961504086,0.018808945023992833,15.80651496596579,0.026742730533090574
58893.78420408164,17.703374006837066,0.027348647510920684,16.572114033100508,0.020285947224441676,16.146493734836056,0.016064921843068826,15.834877282249735,0.023920313486391023
58895.00869387756,17.74987697793849,0.024806294939882106,16.60807572703016,0.019009519378654194,16.175902398901613,0.0145191381709546,15.857765137686993,0.022112190327435423
58896.233183673474,17.788906099396016,0.02415554151357612,16.647624800659564,0.01896207215823052,16.21382854576598,0.014652250779138048,15.876152663699644,0.02271356733336006
58897.45767346939,17.825552484511142,0.026597643751241004,16.692479395216097,0.020015829736125267,16.25930827777688,0.015696679724993647,15.891968580899967,0.025815447614247228
58898.68216326531,17.86516150803703,0.03135773904189064,16.739228592711477,0.021666439577101904,16.30667516273067,0.016728708967393497,15.91096581960692,0.02944326398621408
58899.90665306123,17.908504757077434,0.03604729139711404,16.77847171447045,0.023129600291749895,16.351014765156314,0.017185527598116222,15.93530270620424,0.03197609172171705
58901.13114285715,17.95017425366316,0.03853671160491914,16.801436355069526,0.023353815195262518,16.388930303178036,0.01677891786157304,15.970920883699021,0.032165871042290184
58902.35563265307,17.983129800730136,0.03764391178412917,16.797707783822762,0.022143233325811217,16.419902775767213,0.015772580201038784,16.02254994179372,0.030007330879351646
58903.580122448984,17.99343260632033,0.03381919084505781,16.767758677666535,0.01975117258050406,16.44549348466989,0.01452533300715832,16.09077201452844,0.026132432916486075
58904.8046122449,17.97462144282727,0.028415204446163588,16.72105132598917,0.01769296192045687,16.469530131707828,0.01369602022893329,16.17392426105782,0.02208709624325917
58906.02910204082,17.922359729317442,0.023669036769069382,16.676584481078105,0.017281189525749932,16.49295591583782,0.01358955306559074,16.26645940455014,0.01999561427181279
58907.25359183674,17.837433269747738,0.02146456593197683,16.655137682821234,0.018512728972017105,16.519337222232757,0.01398301692771681,16.35852605222091,0.020755241380705215
58908.47808163266,17.731788133786345,0.021453703238488542,16.675148490686148,0.019979129359425436,16.54947341741765,0.014450210015221426,16.436380211179966,0.02317312508915704
58909.70257142858,17.621714095509034,0.022049288218411487,16.742837041271557,0.02047483470832753,16.587027257572203,0.014841720829864843,16.488345370024575,0.025007994096423885
58910.927061224495,17.526248219266435,0.023139919799163734,16.84928936643966,0.02018021517217682,16.635097349541343,0.015279061548059058,16.503387169667292,0.025650860076680018
58912.15155102041,17.46058133355583,0.026489928237722605,16.971657657841476,0.01996306547971502,16.697548551008612,0.01712465143433173,16.478809863112904,0.02684586867411539
58913.37604081633,17.43694399096232,0.03324644062069629,17.077130125010047,0.02098904120628416,16.778600057269855,0.022374296813759534,16.416590799926617,0.03365456242168219
58914.60053061225,17.458626884424902,0.041900215194695355,17.129449625635814,0.0235034073990464,16.87702076910038,0.031058788815891795,16.33162683511135,0.04849719081752643
58915.82502040817,17.52386297900035,0.049717329300088625,17.105433629240743,0.027065570578917918,16.98725258656951,0.040935116593018225,16.241893086502586,0.06824907225464316
58917.04951020409,17.62526540331562,0.0540133316748214,16.99621254329045,0.03165556020629156,17.09525243763717,0.049031394530061535,16.169331086662353,0.08753261354503601
58918.274000000005,17.75275960418679,0.0537344936845393,16.81094521529532,0.03872028028839281,17.17821179357939,0.05211069032357425,16.134660475203873,0.10085207269644798
