AB flux density,AB flux density error,AB mag,AB mag err,AB mag limit,Exposure,Magnitude,Magnitude error,Magnitude limit,ObsID,Sigma,Time (MET),Wavelength,mag flux density,mag flux density err
1.37E-14,4.62E-16,13.57804012,0.03654262424,17.25241661,51.9272995,13.58804035,0.03654262424,17.26241684,sw00035227011,48.54967117,600512907.8,vv,1.37E-14,4.62E-16
1.13E-14,3.32E-16,14.27180767,0.03187591955,18.06690216,51.93814468,14.40180779,0.03187591955,18.19690132,sw00035227011,62.62138748,600512578.4,bb,1.12E-14,3.30E-16
1.06E-14,3.34E-16,14.84997177,0.03426798061,18.94883728,51.9272995,13.82997227,0.03426798061,17.92883682,sw00035227011,58.32059097,600512520.4,uu,1.04E-14,3.27E-16
1.18E-14,3.29E-16,15.91902256,0.03038088791,20.48097038,261.5802307,14.18902206,0.03038088791,18.75096893,sw00035227011,53.30521011,600512743.3,w2,1.13E-14,3.16E-16
1.11E-14,3.04E-16,15.7471714,0.0296798218,20.57775497,416.015625,14.05717182,0.0296798218,18.88775444,sw00035227011,59.81634903,600513149.5,m2,1.11E-14,3.02E-16
1.30E-14,3.64E-16,15.32549095,0.03034529649,19.84864426,160.1958771,13.81549072,0.03034529649,18.33864403,sw00035227012,54.69765854,600587515.3,w1,1.19E-14,3.31E-16
1.55E-14,5.02E-16,13.44661903,0.03519360721,17.24698448,52.93717575,13.45661926,0.03519360721,17.25698471,sw00035227012,53.5846138,600588022.2,vv,1.55E-14,5.03E-16
1.30E-14,3.70E-16,14.11886692,0.03082925826,18.01862335,52.91546249,14.24886703,0.03082925826,18.14862251,sw00035227012,70.34984589,600587686.3,bb,1.29E-14,3.68E-16
1.29E-14,3.92E-16,14.63299084,0.03287772834,18.8766098,52.91546249,13.61299038,0.03287772834,17.85660934,sw00035227012,68.00051117,600587627.9,uu,1.27E-14,3.83E-16
1.34E-14,3.61E-16,15.77900887,0.0292802304,20.50082779,267.4874878,14.04900932,0.0292802304,18.77082634,sw00035227012,58.02177048,600587854.7,w2,1.28E-14,3.46E-16
1.19E-14,3.20E-16,15.67461967,0.02921412326,20.54224396,421.1192932,13.98462009,0.02921412326,18.85224342,sw00035227012,62.27703857,600588267,m2,1.18E-14,3.18E-16
