MJD	FLT	FLUXCAL	FLUXCALERR	MAG	MAGERR	TELESCOPE	INSTRUMENT
58856.450	UVW1	144486.073	2205.140	14.600	0.017	Swift	UVOT
58856.452	U	231791.352	3689.171	14.087	0.017	Swift	UVOT
58856.454	UVW2	75834.728	1053.216	15.300	0.015	Swift	UVOT
58856.459	UVM2	86152.645	884.462	15.162	0.011	Swift	UVOT
58856.783	UVW1	94234.281	1077.947	15.064	0.012	Swift	UVOT
58856.791	UVW2	95679.385	862.796	15.048	0.010	Swift	UVOT
58857.446	UVW1	118077.540	1962.972	14.820	0.018	Swift	UVOT
58857.448	U	532786.420	7307.452	13.184	0.015	Swift	UVOT
58857.455	UVM2	78405.761	846.200	15.264	0.012	Swift	UVOT
58858.843	UVW1	98020.795	1397.977	15.022	0.015	Swift	UVOT
58858.848	UVW2	90182.959	1041.418	15.112	0.013	Swift	UVOT
58858.853	UVM2	97404.241	1058.742	15.029	0.012	Swift	UVOT
58859.457	UVW2	87809.429	1774.298	15.141	0.022	Swift	UVOT
58859.772	UVW1	150081.126	1223.899	14.559	0.009	Swift	UVOT
58859.969	UVW1	171951.744	1760.970	14.411	0.011	Swift	UVOT
58860.374	UVW1	88745.071	1624.706	15.130	0.020	Swift	UVOT
58860.377	UVW2	70957.719	1107.821	15.373	0.017	Swift	UVOT
58860.381	UVM2	94420.896	1226.590	15.062	0.014	Swift	UVOT
58861.243	UVW1	110594.443	1816.575	14.891	0.018	Swift	UVOT
58861.247	UVW2	89906.848	1250.510	15.116	0.015	Swift	UVOT
58877.188	UVW2	76771.079	1731.100	15.287	0.024	Swift	UVOT
58877.190	UVM2	89836.199	1781.638	15.116	0.022	Swift	UVOT
58877.192	UVW1	122365.549	2972.263	14.781	0.026	Swift	UVOT
58887.676	UVW2	69755.084	1237.019	15.391	0.019	Swift	UVOT
58887.680	UVM2	84943.024	1312.534	15.177	0.017	Swift	UVOT
58887.684	UVW1	109215.913	2078.766	14.904	0.021	Swift	UVOT
58866.564	i	251188.643	2313.533	14.000	0.010	Pan-STARRS1	GPC1
58869.347	r	275159.934	1856.909	13.901	0.007	Swope	Direct/4Kx4K
58869.348	i	231315.587	3431.985	14.089	0.016	Swope	Direct/4Kx4K
58869.349	g	153462.596	1344.915	14.535	0.010	Swope	Direct/4Kx4K
58869.352	V	225670.573	1841.391	14.117	0.009	Swope	Direct/4Kx4K
58869.353	B	90188.542	1017.798	15.112	0.012	Swope	Direct/4Kx4K
58870.315	r	252926.583	3121.811	13.992	0.013	Swope	Direct/4Kx4K
58870.316	i	224685.290	1944.983	14.121	0.009	Swope	Direct/4Kx4K
58870.319	V	203021.073	2649.744	14.231	0.014	Swope	Direct/4Kx4K
58870.320	B	78603.333	1260.530	15.262	0.017	Swope	Direct/4Kx4K
58871.350	r	223149.441	3162.861	14.129	0.015	Swope	Direct/4Kx4K
58871.352	i	209066.588	1358.620	14.199	0.007	Swope	Direct/4Kx4K
58871.354	g	112188.413	874.351	14.875	0.008	Swope	Direct/4Kx4K
58871.357	V	174014.204	1883.371	14.398	0.012	Swope	Direct/4Kx4K
58871.359	B	66059.110	820.480	15.451	0.013	Swope	Direct/4Kx4K
58872.351	r	209429.927	2098.106	14.197	0.011	Swope	Direct/4Kx4K
58872.353	i	193592.974	1394.726	14.283	0.008	Swope	Direct/4Kx4K
58872.354	g	92315.364	1132.770	15.086	0.013	Swope	Direct/4Kx4K
58872.355	u	12927.194	359.070	17.221	0.030	Swope	Direct/4Kx4K
58872.359	V	152884.833	1880.698	14.539	0.013	Swope	Direct/4Kx4K
58872.360	B	54801.645	711.039	15.653	0.014	Swope	Direct/4Kx4K
58874.374	r	156001.260	1401.263	14.517	0.010	Swope	Direct/4Kx4K
58875.375	r	151406.457	1163.628	14.550	0.008	Swope	Direct/4Kx4K
58875.376	i	148523.205	1054.875	14.571	0.008	Swope	Direct/4Kx4K
58875.381	V	104049.949	1674.813	14.957	0.017	Swope	Direct/4Kx4K
58875.382	B	39430.092	660.599	16.010	0.018	Swope	Direct/4Kx4K
58876.361	r	128561.190	872.060	14.727	0.007	Swope	Direct/4Kx4K
58876.363	i	129393.377	844.367	14.720	0.007	Swope	Direct/4Kx4K
58876.365	g	61671.694	618.820	15.525	0.011	Swope	Direct/4Kx4K
58876.366	u	6970.058	398.230	17.892	0.062	Swope	Direct/4Kx4K
58876.370	V	83321.715	1079.416	15.198	0.014	Swope	Direct/4Kx4K
58876.372	B	33004.617	320.253	16.203	0.011	Swope	Direct/4Kx4K
58882.317	r	69740.820	855.212	15.391	0.013	Swope	Direct/4Kx4K
