event,time,flux,e_flux,upperlimit,energy,instrument,telescope,source
SN1987A,55645.0,7.290E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55645.0,7.130E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55645.0,8.7680E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55825.0,9.1960E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55825.0,7.450E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55825.0,7.4920E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55907.0,7.540E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,55907.0,9.910E-13,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,56014.0,8.910E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56014.0,8.0710E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56014.0,9.940E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56272.0,1.1210E-12,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,56272.0,7.8680E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,56372.0,9.710E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56372.0,7.7480E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56372.0,9.8950E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56563.0,1.04160E-11,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56563.0,1.1170E-12,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56563.0,8.1000E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56735.0,1.1530E-12,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56735.0,7.8960E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56735.0,1.02730E-11,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56920.0,1.04420E-11,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56920.0,1.1500E-12,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56920.0,8.0560E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,56990.0,7.8000E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,56990.0,1.290E-12,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,57095.0,8.1210E-12,,,"0.5,2.0",Chandra ACIS/LETG,,"2016ApJ...829...40F,SNaX"
SN1987A,57282.0,1.1970E-12,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,57282.0,1.0370E-11,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,57282.0,7.8740E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
