Xpos,Ypos,Mag,Mag_err,flux,flux_err,type,peakflux,sigx,sigxy,sigy,sky,chisqr,class,FWHM1,FWHM2,FWHM,angle,extendedness,flag,mask,Nmask,RA,Dec,pixchk_Npos,pixchk_Nneg,pixchk_Nmask,pixchk_Ntot,pixchk_Fpos,pixchk_Fneg,time,zpt_av,zpt_00,band,mag0,MJD,MAG,MAGERR,FLT
2251.04,2251.094,-10.402000000000001,0.006999999999999999,14484.2,86.92,0x00000001,1315.29,1.233309,0.000146,1.221459,5.87,10.53,0.0,2.9,2.88,2.89,-0.7,36.2,0x0000,0x0000,0,0.0,0.0,54,0,0,60,14237.0,0.0,58882.31523,26.059855,26.059855,r,15.657618717526148,58882.31523,15.657618717526148,0.006999999999999999,r
2250.899,2251.156,-11.812000000000001,0.013000000000000001,53075.39,629.84,0x00000001,2295.55,1.71612,0.013544999999999998,1.841436,44.95,1.58,0.0,4.36,4.02,4.19,-74.4,0.5,0x0000,0x0000,0,0.0,0.0,98,0,0,127,53946.0,0.0,58903.2847,28.4798,28.4798,V,16.66756701484435,58903.2847,16.66756701484435,0.013000000000000001,V
2251.093,2251.288,-8.956,0.111,3822.5,389.11,0x00000001,192.42,1.6106719999999999,-0.010757,1.687023,8.11,0.88,0.0,3.99,3.78,3.88,73.9,-6.6,0x0000,0x0000,0,0.0,0.0,28,0,0,107,3026.0,0.0,58912.274,28.3886,28.3886,u,19.432731264789105,58912.274,19.432731264789105,0.111,u
2250.799,2251.742,-11.918,0.005,58490.61,252.24,0x00000001,4034.36,1.3665049999999999,-0.062967,1.440205,25.79,4.73,0.0,3.55,3.1,3.32,56.5,17.2,0x0000,0x0000,0,0.0,0.0,78,0,0,78,56389.0,0.0,58869.35282,27.178442,27.178442,B,15.260726623363256,58869.35282,15.260726623363256,0.005,B
2250.9770000000003,2251.136,-12.46,0.011000000000000001,96371.16,996.11,0x00000001,5940.43,1.41959,0.047205000000000004,1.554783,28.72,1.82,0.0,3.76,3.27,3.52,-65.6,-9.6,0x0000,0x0000,0,0.0,0.0,73,0,0,91,93273.0,0.0,58910.24226,29.1814,29.1814,r,16.721532283676343,58910.24226,16.721532283676343,0.011000000000000001,r
2250.952,2251.117,-12.501,0.002,100051.21,229.0,0x00000001,8743.53,1.2063700000000002,-0.040530000000000004,1.295033,103.05,59.94,0.0,3.09,2.81,2.95,69.1,34.6,0x0000,0x0000,0,0.0,0.0,64,0,0,64,100441.0,0.0,58872.35862,27.198901,27.198901,V,14.69834513680617,58872.35862,14.69834513680617,0.002,V
2250.844,2251.152,-11.989,0.013000000000000001,62444.44,745.75,0x00000001,3952.61,1.433331,0.018019,1.5068709999999998,28.55,2.9,0.0,3.57,3.35,3.46,-71.1,-17.0,0x0000,0x0000,0,0.0,0.0,75,3,0,85,59965.0,-373.0,58903.27425,28.9732,28.9732,g,16.98446556195226,58903.27425,16.98446556195226,0.013000000000000001,g
2250.913,2251.155,-12.437999999999999,0.012,94415.75,1072.83,0x00000001,7821.87,1.264489,-0.018305000000000002,1.305348,58.67,8.74,0.0,3.09,2.96,3.03,68.2,12.7,0x0000,0x0000,0,0.0,0.0,58,0,0,66,93164.0,0.0,58907.36082,29.063,29.063,i,16.62538888163994,58907.36082,16.62538888163994,0.012,i
2250.972,2251.177,-11.328,0.009000000000000001,33990.48,280.85,0x00000001,2970.32,1.2063700000000002,-0.040530000000000004,1.295033,39.75,4.33,0.0,3.09,2.81,2.95,69.1,18.7,0x0000,0x0000,0,0.0,0.0,56,0,0,65,33940.0,0.0,58894.32053,27.899151,27.899151,V,16.570757756100498,58894.32053,16.570757756100498,0.009000000000000001,V
2250.996,2251.106,-11.927,0.004,59004.59,228.4,0x00000001,5358.5,1.233309,0.000146,1.221459,31.6,37.47,0.0,2.9,2.88,2.89,-0.7,36.5,0x0000,0x0000,0,0.0,0.0,61,0,0,61,57860.0,0.0,58874.3739,26.534106,26.534106,r,14.60689150758381,58874.3739,14.60689150758381,0.004,r
2250.951,2251.206,-12.542,0.01,103955.9,925.74,0x00000001,7462.17,1.339114,-0.053346000000000005,1.41596,27.09,3.53,0.0,3.44,3.07,3.26,59.5,-6.6,0x0000,0x0000,0,0.0,0.0,64,1,0,73,97321.0,-164.0,58906.27954,29.581757,29.581757,g,17.03963414330292,58906.27954,17.03963414330292,0.01,g
2250.953,2251.244,-12.546,0.015,104324.8,1418.43,0x00000001,8808.62,1.210648,-0.05418200000000001,1.333142,-28.5,2.65,0.0,3.2,2.81,3.0,68.9,-10.2,0x0000,0x0000,0,0.0,0.0,51,1,0,65,93364.0,-237.0,58908.30726,29.5921,29.5921,g,17.046131097992337,58908.30726,17.046131097992337,0.015,g
